; Samples 30000, Items 6, SampleRate 1
; Item#:   0   0   1   1   7   7 
; Index:   0   1   0   1   0   1 
; PosFbk#00[0] PosFbk#01[0] PosCmd#00[0] PosCmd#01[0] CurFbk#00[0] CurFbk#01[0] 
38941655.8750000000 61177778.1250000000 38941663.1484585260 61177764.0739477800 0.2374307066 -0.6264189482 
38939559.5000000000 61178813.7500000000 38939569.8173359190 61178807.6466294530 0.2374475896 -0.5873286724 
38937617.0000000000 61179781.6250000000 38937626.9039990830 61179776.2326592950 0.1983903348 -0.5650991201 
38935819.3750000000 61180678.3750000000 38935829.4055395950 61180672.3260997610 0.2374760062 -0.5651009083 
38934163.8750000000 61181511.6250000000 38934172.2248404320 61181498.4679784030 0.1983890682 -0.5259861946 
38932646.5000000000 61182264.3750000000 38932650.1738781850 61182257.2446416620 0.1761697978 -0.5259814262 
38931257.0000000000 61182953.2500000000 38931257.9770841970 61182951.2860792730 0.1761762053 -0.5037720203 
38929990.7500000000 61183582.2500000000 38929990.2747623470 61183583.2642203790 0.1370444447 -0.4815696478 
38928840.5000000000 61184156.0000000000 38928841.6265614410 61184155.8912025090 0.1539937258 -0.4815721214 
38927801.8750000000 61184674.5000000000 38927806.5149997620 61184671.9176144750 0.1370373517 -0.4424342513 
38926872.7500000000 61185140.7500000000 38926879.3490396660 61185134.1307143870 0.1370341927 -0.4815759659 
38926051.2500000000 61185550.2500000000 38926054.4677097650 61185545.3526239170 0.1148538366 -0.4424310327 
38925330.0000000000 61185905.8750000000 38925326.1437724830 61185908.4384998980 0.0926819071 -0.4032805562 
38924688.7500000000 61186223.7500000000 38924688.5874344410 61186226.2746846450 0.0756858140 -0.3758639097 
38924130.8750000000 61186500.2500000000 38924135.9500975390 61186501.7768359410 0.0926910713 -0.3980566263 
38923652.3750000000 61186736.5000000000 38923662.3281479550 61186737.8880381730 0.0756802261 -0.3588990867 
38923247.5000000000 61186934.5000000000 38923261.7667808910 61186937.5768955570 0.0756780356 -0.3367161155 
38922913.8750000000 61187099.3750000000 38922928.2638584600 61187103.8356089370 0.0535124242 -0.3367169499 
38922645.7500000000 61187235.2500000000 38922655.7737982350 61187239.6780372110 0.0313581415 -0.2975586355 
38922429.0000000000 61187348.3750000000 38922438.2114899310 61187348.1377448290 0.0313594043 -0.3197389543 
38922255.3750000000 61187432.1250000000 38922269.4562377410 61187432.2660364140 -0.0078313416 -0.2753741145 
38922127.6250000000 61187493.3750000000 38922143.3557256680 61187495.1299799760 -0.0078315288 -0.2531946003 
38922038.6250000000 61187533.3750000000 38922053.7300033720 61187539.8104198580 0.0092068324 -0.2140337825 
38921979.8750000000 61187560.1250000000 38921994.3754899350 61187569.3999807690 -0.0078317448 -0.1918544769 
38921946.0000000000 61187581.0000000000 38921959.0689929050 61187587.0010642260 -0.0078317933 -0.1748692691 
38921932.6250000000 61187595.3750000000 38921941.5717400460 61187595.7238385980 -0.0299860705 -0.1748691797 
38921928.0000000000 61187595.6250000000 38921935.6334212500 61187598.6842241810 -0.0691801980 -0.1526900232 
;  
; [File]
; Version=4
;  
; [System]
; SecondaryUnitsScaleFactor=0.03937007874015748
; SecondaryUnitsName=In
;  
; [Axis.0]
; AxisName=X
; AxisType=0
; CountsPerUnit=125000.00000000000000000
; UnitsName=mm
; GainKpos=0.00000000000000000
; GainKi=115.00000000000000000
; GainKp=3700.00000000000000000
; GainKpi=8.00000000000000000
; GainKv=1.00000000000000000
; GainAff=1000.00000000000000000
; GainVff=7.00000000000000000
; ServoFilterSetup=127
; ServoFilter0CoeffN0=0.15916296799999999
; ServoFilter0CoeffN1=0.31832593700000000
; ServoFilter0CoeffN2=0.15916296799999999
; ServoFilter0CoeffD1=-0.59909730000000005
; ServoFilter0CoeffD2=0.23574921500000001
; ServoFilter1CoeffN0=0.98336166100000000
; ServoFilter1CoeffN1=-1.92737114000000000
; ServoFilter1CoeffN2=0.97788804799999995
; ServoFilter1CoeffD1=-1.92737114000000000
; ServoFilter1CoeffD2=0.96124969999999998
; ServoFilter2CoeffN0=0.98015373900000002
; ServoFilter2CoeffN1=-1.84932268000000000
; ServoFilter2CoeffN2=0.92915329999999996
; ServoFilter2CoeffD1=-1.84932268000000000
; ServoFilter2CoeffD2=0.90930706299999997
; ServoFilter3CoeffN0=0.97817945500000003
; ServoFilter3CoeffN1=-1.75445509000000000
; ServoFilter3CoeffN2=0.90356564500000003
; ServoFilter3CoeffD1=-1.75445509000000000
; ServoFilter3CoeffD2=0.88174509999999995
; ServoFilter4CoeffN0=0.92644430000000000
; ServoFilter4CoeffN1=0.71867660000000000
; ServoFilter4CoeffN2=0.82914114000000005
; ServoFilter4CoeffD1=0.71867660000000000
; ServoFilter4CoeffD2=0.75558550000000002
; ServoFilter5CoeffN0=0.98734343099999999
; ServoFilter5CoeffN1=-1.58400999999999990
; ServoFilter5CoeffN2=0.97060060000000004
; ServoFilter5CoeffD1=-1.58400999999999990
; ServoFilter5CoeffD2=0.95794403600000000
; ServoFilter6CoeffN0=0.98704665899999999
; ServoFilter6CoeffN1=-1.66858100000000010
; ServoFilter6CoeffN2=0.96991133699999998
; ServoFilter6CoeffD1=-1.66858100000000010
; ServoFilter6CoeffD2=0.95695799999999998
;  
; [Axis.1]
; AxisName=Y
; AxisType=0
; CountsPerUnit=125000.00000000000000000
; UnitsName=mm
; GainKpos=0.00000000000000000
; GainKi=322.00000000000000000
; GainKp=4576.00000000000000000
; GainKpi=19.00000000000000000
; GainKv=1.00000000000000000
; GainAff=2088.00000000000000000
; GainVff=7.00000000000000000
; ServoFilterSetup=255
; ServoFilter0CoeffN0=0.15916296799999999
; ServoFilter0CoeffN1=0.31832593700000000
; ServoFilter0CoeffN2=0.15916296799999999
; ServoFilter0CoeffD1=-0.59909730000000005
; ServoFilter0CoeffD2=0.23574921500000001
; ServoFilter1CoeffN0=0.96184146400000003
; ServoFilter1CoeffN1=-1.79596388000000000
; ServoFilter1CoeffN2=0.92654669999999995
; ServoFilter1CoeffD1=-1.79596388000000000
; ServoFilter1CoeffD2=0.88838815699999996
